Id,Name,Year,Gender,State,Count
13559,Kinley,2014,F,AK,18
13560,Madison,2014,F,AK,18
13561,Paisley,2014,F,AK,18
13562,Addison,2014,F,AK,17
13563,Claire,2014,F,AK,17
13564,Layla,2014,F,AK,17
13565,Audrey,2014,F,AK,16
13566,Ellie,2014,F,AK,16
13567,Faith,2014,F,AK,16
13568,Scarlett,2014,F,AK,16
13569,Bella,2014,F,AK,15
13570,Elena,2014,F,AK,15
13571,Riley,2014,F,AK,15
13572,Samantha,2014,F,AK,15
13573,Athena,2014,F,AK,14
13574,Mackenzie,2014,F,AK,14
13575,Nevaeh,2014,F,AK,14
13576,Gabriella,2014,F,AK,13
13577,Naomi,2014,F,AK,13
13578,Ruby,2014,F,AK,13
13579,Savannah,2014,F,AK,13
13580,Zoe,2014,F,AK,13
13581,Aaliyah,2014,F,AK,12
13582,Alyssa,2014,F,AK,12
13583,Ariana,2014,F,AK,12
13584,Autumn,2014,F,AK,12
13585,Isabel,2014,F,AK,12
13586,Isabelle,2014,F,AK,12
13587,Leah,2014,F,AK,12
13588,Lucy,2014,F,AK,12
13589,Mia,2014,F,AK,12
13590,Nora,2014,F,AK,12
13591,Rose,2014,F,AK,12
13592,Serenity,2014,F,AK,12
13593,Victoria,2014,F,AK,12
13594,Alice,2014,F,AK,11
13595,Arianna,2014,F,AK,11
13596,Aubree,2014,F,AK,11
13597,Brooke,2014,F,AK,11
13598,Kennedy,2014,F,AK,11
13599,River,2014,F,AK,11
13600,Sarah,2014,F,AK,11
13601,Sofia,2014,F,AK,11
13602,Stella,2014,F,AK,11
13603,Taylor,2014,F,AK,11
13604,Trinity,2014,F,AK,11
13605,Alexis,2014,F,AK,10
13606,Allison,2014,F,AK,10
13607,Cora,2014,F,AK,10
13608,Ember,2014,F,AK,10
13609,Gwendolyn,2014,F,AK,10
13610,Maria,2014,F,AK,10
13611,Willow,2014,F,AK,10
13612,Amara,2014,F,AK,9
13613,Andrea,2014,F,AK,9
13614,Clara,2014,F,AK,9
13615,Eliana,2014,F,AK,9
13616,Elsa,2014,F,AK,9
13617,Everly,2014,F,AK,9
13618,Julia,2014,F,AK,9
13619,Kira,2014,F,AK,9
13620,Kyra,2014,F,AK,9
13621,Madeline,2014,F,AK,9
13622,Makayla,2014,F,AK,9
13623,Payton,2014,F,AK,9
13624,Skylar,2014,F,AK,9
13625,Sophie,2014,F,AK,9
13626,Tessa,2014,F,AK,9
13627,Vivian,2014,F,AK,9
13628,Ashley,2014,F,AK,8
13629,Caroline,2014,F,AK,8
13630,Daisy,2014,F,AK,8
13631,Elise,2014,F,AK,8
13632,Elliana,2014,F,AK,8
13633,Harmony,2014,F,AK,8
13634,Henley,2014,F,AK,8
13635,Iris,2014,F,AK,8
13636,Ivy,2014,F,AK,8
13637,Jade,2014,F,AK,8
13638,Jasmine,2014,F,AK,8
13639,Juliana,2014,F,AK,8
13640,Juliet,2014,F,AK,8
13641,Laura,2014,F,AK,8
13642,Lydia,2014,F,AK,8
13643,Mckinley,2014,F,AK,8
13644,Rory,2014,F,AK,8
13645,Winter,2014,F,AK,8
13646,Aliyah,2014,F,AK,7
13647,Danielle,2014,F,AK,7
13648,Eden,2014,F,AK,7
13649,Evangeline,2014,F,AK,7
13650,Hayden,2014,F,AK,7
13651,Hope,2014,F,AK,7
13652,Isla,2014,F,AK,7
13653,Juniper,2014,F,AK,7
13654,Kenzie,2014,F,AK,7
13655,Kyla,2014,F,AK,7
13656,Kylie,2014,F,AK,7
13657,Luna,2014,F,AK,7
13658,Margaret,2014,F,AK,7
13659,Marley,2014,F,AK,7
13660,Mckenna,2014,F,AK,7
13661,Nova,2014,F,AK,7
13662,Paige,2014,F,AK,7
13663,Quinn,2014,F,AK,7
13664,Ruth,2014,F,AK,7
13665,Rylee,2014,F,AK,7
13666,Ryleigh,2014,F,AK,7
13667,Summer,2014,F,AK,7
13668,Vivienne,2014,F,AK,7
13669,Adalyn,2014,F,AK,6
13670,Adelaide,2014,F,AK,6
13671,Alayna,2014,F,AK,6
13672,Alivia,2014,F,AK,6
13673,Ana,2014,F,AK,6
13674,Ariel,2014,F,AK,6
13675,Bailey,2014,F,AK,6
13676,Bristol,2014,F,AK,6
13677,Catherine,2014,F,AK,6
13678,Charlie,2014,F,AK,6
13679,Christina,2014,F,AK,6
13680,Delilah,2014,F,AK,6
13681,Elisabeth,2014,F,AK,6
13682,Eliza,2014,F,AK,6
13683,Emilia,2014,F,AK,6
13684,Felicity,2014,F,AK,6
13685,Finley,2014,F,AK,6
13686,Gemma,2014,F,AK,6
13687,Genevieve,2014,F,AK,6
13688,Heidi,2014,F,AK,6
13689,Izabella,2014,F,AK,6
13690,Josephine,2014,F,AK,6
13691,Joy,2014,F,AK,6
13692,Katelyn,2014,F,AK,6
13693,Katherine,2014,F,AK,6
13694,Khloe,2014,F,AK,6
13695,Lauren,2014,F,AK,6
13696,Lila,2014,F,AK,6
13697,Lilliana,2014,F,AK,6
13698,Maci,2014,F,AK,6
13699,Madilyn,2014,F,AK,6
13700,Mariah,2014,F,AK,6
13701,Mary,2014,F,AK,6
13702,Melody,2014,F,AK,6
13703,Molly,2014,F,AK,6
13704,Presley,2014,F,AK,6
13705,Rachel,2014,F,AK,6
13706,Raegan,2014,F,AK,6
13707,Reagan,2014,F,AK,6
13708,Teagan,2014,F,AK,6
13709,Ada,2014,F,AK,5
13710,Adalynn,2014,F,AK,5
13711,Alana,2014,F,AK,5
13712,Alexandria,2014,F,AK,5
13713,Alina,2014,F,AK,5
13714,Amia,2014,F,AK,5
13715,Arabella,2014,F,AK,5
13716,Arya,2014,F,AK,5
13717,Ayla,2014,F,AK,5
13718,Bethany,2014,F,AK,5
13719,Braelyn,2014,F,AK,5
13720,Delaney,2014,F,AK,5
13721,Destiny,2014,F,AK,5
13722,Dylan,2014,F,AK,5
13723,Emery,2014,F,AK,5
13724,Emmalyn,2014,F,AK,5
13725,Esther,2014,F,AK,5
13726,Eva,2014,F,AK,5
13727,Gracie,2014,F,AK,5
13728,Hadley,2014,F,AK,5
13729,Jayla,2014,F,AK,5
13730,Jennifer,2014,F,AK,5
13731,Josie,2014,F,AK,5
13732,June,2014,F,AK,5
13733,Kali,2014,F,AK,5
13734,Kallie,2014,F,AK,5
13735,Kayla,2014,F,AK,5
13736,Lexie,2014,F,AK,5
13737,Lilah,2014,F,AK,5
13738,Lyla,2014,F,AK,5
13739,Macy,2014,F,AK,5
13740,Maggie,2014,F,AK,5
13741,Makenna,2014,F,AK,5
13742,Maya,2014,F,AK,5
13743,Mckenzie,2014,F,AK,5
13744,Meadow,2014,F,AK,5
13745,Mila,2014,F,AK,5
13746,Natasha,2014,F,AK,5
13747,Olive,2014,F,AK,5
13748,Rosalie,2014,F,AK,5
13749,Sage,2014,F,AK,5
13750,Shelby,2014,F,AK,5
13751,Shiloh,2014,F,AK,5
13752,Sydney,2014,F,AK,5
13753,Veronica,2014,F,AK,5
26149,Liam,2013,M,AK,63
26150,William,2013,M,AK,49
26151,Mason,2013,M,AK,46
26152,Noah,2013,M,AK,46
26153,Wyatt,2013,M,AK,46
26154,Ethan,2013,M,AK,44
26155,Jacob,2013,M,AK,43
26156,Elijah,2013,M,AK,39
26157,Logan,2013,M,AK,39
26158,Alexander,2013,M,AK,38
26159,Gabriel,2013,M,AK,37
26160,Hunter,2013,M,AK,37
26161,Joseph,2013,M,AK,36
26162,James,2013,M,AK,35
26163,John,2013,M,AK,35
26164,Michael,2013,M,AK,35
26165,Benjamin,2013,M,AK,34
26166,Samuel,2013,M,AK,34
26167,David,2013,M,AK,33
26168,Jackson,2013,M,AK,33
26169,Lucas,2013,M,AK,33
26170,Aiden,2013,M,AK,31
26171,Matthew,2013,M,AK,31
26172,Jack,2013,M,AK,30
26173,Anthony,2013,M,AK,29
26174,Carter,2013,M,AK,29
26175,Daniel,2013,M,AK,29
26176,Brayden,2013,M,AK,27
26177,Caleb,2013,M,AK,27
26178,Christopher,2013,M,AK,27
26179,Dylan,2013,M,AK,27
26180,Evan,2013,M,AK,25
26181,Landon,2013,M,AK,25
26182,Luke,2013,M,AK,25
26183,Nathan,2013,M,AK,25
26184,Andrew,2013,M,AK,24
26185,Jayden,2013,M,AK,24
26186,Josiah,2013,M,AK,24
26187,Oliver,2013,M,AK,24
26188,Thomas,2013,M,AK,24
26189,Isaac,2013,M,AK,23
26190,Owen,2013,M,AK,23
26191,Sawyer,2013,M,AK,23
26192,Eli,2013,M,AK,22
26193,Henry,2013,M,AK,22
26194,Jonathan,2013,M,AK,22
26195,Blake,2013,M,AK,21
26196,Jordan,2013,M,AK,21
26197,Ian,2013,M,AK,20
26198,Jaxon,2013,M,AK,20
26199,Joshua,2013,M,AK,20
26200,Ryan,2013,M,AK,20
26201,Tristan,2013,M,AK,20
26202,Tyler,2013,M,AK,20
26203,Zachary,2013,M,AK,20
26204,Brandon,2013,M,AK,19
26205,Isaiah,2013,M,AK,19
26206,Jace,2013,M,AK,19
26207,Justin,2013,M,AK,19
26208,Leo,2013,M,AK,19
26209,Nicholas,2013,M,AK,19
26210,Robert,2013,M,AK,19
26211,Christian,2013,M,AK,18
26212,Elias,2013,M,AK,18
26213,Connor,2013,M,AK,17
26214,Ezekiel,2013,M,AK,17
26215,Hudson,2013,M,AK,17
26216,Lincoln,2013,M,AK,17
26217,Nathaniel,2013,M,AK,17
26218,Charles,2013,M,AK,16
26219,Colton,2013,M,AK,16
26220,Parker,2013,M,AK,16
26221,Ryder,2013,M,AK,16
26222,Rylan,2013,M,AK,16
26223,Aaron,2013,M,AK,15
26224,Austin,2013,M,AK,15
26225,Chase,2013,M,AK,15
26226,Cooper,2013,M,AK,15
26227,Dominic,2013,M,AK,15
26228,Grayson,2013,M,AK,15
26229,Levi,2013,M,AK,15
26230,Cameron,2013,M,AK,14
